PLANT,PLANT NAME,Company,StateOffice,RegionalOffice,TANKAGE,STOCK,TOTAL_STOCK,DAYS_COVER,DAY_BOTTLING,CUMM_BOTTLING,Bottling-Rated capacity(TMTPA)
3178,Kandla LPG Import Terminal,IOC,Gujarat SO,WestRegion,25680,14255,14255,0,0,0,510
3186,OMC(BPC)LPG Hosp.Locn-Hazira,IOC,Gujarat SO,WestRegion,0,0,0,0,0,0,510
3187,OMC(HPC)LPG Hosp.Locn-Hazira,IOC,Gujarat SO,WestRegion,0,0,0,0,0,0,510
3271,LPG BP -Manmad,IOC,Maharashtra State Office,WestRegion,1809,1107,1696,9,218,1341,180
3272,LPG BP -DHANAJ,IOC,Maharashtra State Office,WestRegion,1864,1003,1822,6,339,2006,180
3273,LPG BP -CHAKAN(PUNE),IOC,Maharashtra State Office,WestRegion,1824,772,1116,4,342,2094,180
3279,OMC-HPC-LPG Hosp Locn-Khapri,IOC,Maharashtra State Office,WestRegion,0,164,217,8,0,181,180
3286,LPG BP -Manmad LOGICAL,IOC,Maharashtra State Office,WestRegion,0,0,0,0,0,0,180
32B1,LPG BP-Nagpur,IOC,Maharashtra State Office,WestRegion,0,0,0,0,0,0,180
3371,LPG BP -Bhopal,IOC,MP SO,WestRegion,8232,5989,8518,19,543,3112,480
3372,LPG BP -Ujjain,IOC,MP SO,WestRegion,1857,1241,3486,9,507,2832,480
3379,LPG BP -Guna,IOC,MP SO,WestRegion,894,594,594,2,542,2743,480
3383,LPG BP -Raipur,IOC,MP SO,WestRegion,1779,1412,2808,8,472,2555,480
3385,LPG BP-Jabalpur,IOC,MP SO,WestRegion,0,0,0,0,0,0,480
3386,LPG BP-Korba,IOC,MP SO,WestRegion,0,0,0,0,0,0,480
3387,LPG BP-Gwalior,IOC,MP SO,WestRegion,0,0,0,0,0,0,480
4171,LPG BP -Ennore,IOC,Tamil Nadu SO,WestRegion,918,664,1005,2,678,3401,960
4172,LPG BP -Salem,IOC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
4174,LPG BP -Pondichery,IOC,Tamil Nadu SO,WestRegion,300,232,676,8,115,564,960
4175,LPG BP -Madurai,IOC,Tamil Nadu SO,WestRegion,961,1003,2090,9,298,1605,960
4176,LPG BP -MAYILADUTHURAI,IOC,Tamil Nadu SO,WestRegion,99,62,204,7,47,211,960
4177,LPG BP - ERODE,IOC,Tamil Nadu SO,WestRegion,1861,1640,3115,8,527,2643,960
4179,LPG BP -Coimbatore,IOC,Tamil Nadu SO,WestRegion,1791,1155,3075,9,482,2273,960
4181,LPG BP -Trichy,IOC,Tamil Nadu SO,WestRegion,1071,844,2550,7,529,2650,960
4183,LPG BP -Chengelpet,IOC,Tamil Nadu SO,WestRegion,1764,738,2355,7,495,2456,960
4184,LPG BP -MANNARGUDI,IOC,Tamil Nadu SO,WestRegion,108,82,224,8,41,203,960
4187,LPG BP -ILAYANGUDI,IOC,Tamil Nadu SO,WestRegion,453,378,1140,9,176,868,960
4188,LPG BP -Tirunelveli,IOC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
4194,SHV Tuticorin,IOC,Tamil Nadu SO,WestRegion,0,0,0,0,0,0,960
4271,LPG BP -Quilon,IOC,Kerala SO,WestRegion,3138,2413,2787,9,403,2272,420
4272,LPG BP -Cochin,IOC,Kerala SO,WestRegion,855,3407,3407,8,526,3052,420
4273,LPG BP -Calicut,IOC,Kerala SO,WestRegion,2715,2332,2865,9,415,2141,420
4280,IOC LPG Import Terminal  Kochi,IOC,Kerala SO,WestRegion,0,0,0,0,0,0,420
4372,LPG BP -Belgaum,IOC,Karnataka SO,WestRegion,3004,2497,3081,11,462,2001,480
4373,LPG BP -Devengonthi,BPC,Karnataka SO,WestRegion,6125,3135,4975,8,819,4324,480
4380,LPG BP -Shimoga,BPC,Karnataka SO,WestRegion,1797,1406,2337,7,516,2407,480
4386,TOTAL OIL INDIA PVT LTD,BPC,Karnataka SO,WestRegion,0,36,36,0,0,0,480
4387,LPG BP - MYSORE,BPC,Karnataka SO,WestRegion,599,380,1024,4,234,1617,480
4471,LPG BP -CHERLAPALLY,BPC,Telangana & Andhra Pradesh SO,WestRegion,2166,2165,2694,5,649,3579,600
4472,LPG BP -CUDDAPAH,BPC,Telangana & Andhra Pradesh SO,WestRegion,1846,247,2324,7,428,2374,600
4473,LPG BP -KONDAPALLI,BPC,Telangana & Andhra Pradesh SO,WestRegion,1362,1052,1194,3,510,2515,600
4474,LPG BP -Thimmapur,BPC,Telangana & Andhra Pradesh SO,WestRegion,1809,1536,3229,10,526,2170,600
4475,LPG BP -VIZAG,BPC,Telangana & Andhra Pradesh SO,WestRegion,1797,1409,1975,7,452,2030,600
4490,Bottled Gas Company,BPC,Telangana & Andhra Pradesh SO,WestRegion,0,0,0,0,0,0,600
4491,Keerthi Petrochem Pvt.Ltd,BPC,Telangana & Andhra Pradesh SO,WestRegion,0,0,0,0,0,0,600
5701,GAS POINT PETROLEUM (I) LTD,BPC,Telangana & Andhra Pradesh SO,WestRegion,0,0,0,0,0,0,600
7B01,LPG BP -Bishalgarh,BPC,IndianOil AOD,EastRegion,81,31,598,9,104,471,437
7B02,LPG BP -Sarpara,BPC,IndianOil AOD,EastRegion,963,240,2191,12,270,1233,437
7B03,LPG BP-North Guwahati,BPC,IndianOil AOD,EastRegion,1318,405,3983,11,427,2462,437
7B04,LPG BP--Silchar  BP,BPC,IndianOil AOD,EastRegion,1735,1465,1778,11,116,1143,437
7B05,LPG BP -GOPANARI,BPC,IndianOil AOD,EastRegion,1793,239,1101,4,393,1889,437
7B06,LPG BP-DIMAPUR BP,BPC,IndianOil AOD,EastRegion,401,140,209,8,42,185,437
